City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
494,ballina,-28.8667,153.5667,301.92,61,64,4.24,AU,1706673112
495,nizhneangarsk,55.7833,109.55,246.48,89,13,2.24,RU,1706673112
496,howard springs,-12.497,131.047,307.03,76,84,4.37,AU,1706673112
497,mandiana,10.6333,-8.6833,295.02,21,95,2.34,GN,1706673112
498,kaspiyskiy,45.3929,47.3707,270.93,86,97,5.72,RU,1706673113
499,tupiza,-21.45,-65.7167,287.46,70,97,1.6,BO,1706673113
500,nagqu,31.5,92.0,266.81,32,69,5.44,CN,1706673113
501,notodden,59.5594,9.2585,274.26,92,54,1.04,NO,1706673113
502,ketchikan,55.3422,-131.6461,281.41,87,100,2.06,US,1706673114
503,jinchang,38.4953,102.1739,270.11,32,100,2.18,CN,1706672942
504,dombarovskiy,50.7587,59.5386,264.82,95,100,4.47,RU,1706673114
505,erechim,-27.6342,-52.2739,288.83,93,0,1.29,BR,1706673114
506,port macquarie,-31.4333,152.9167,301.42,65,43,4.18,AU,1706673114
507,sur,22.5667,59.5289,297.19,67,100,1.87,OM,1706673115
508,raahe,64.6833,24.4833,273.2,87,100,9.29,FI,1706673115
509,valday,57.9747,33.2525,273.17,94,100,5.81,RU,1706673115
510,bozeman,45.6796,-111.0386,281.03,68,0,2.06,US,1706673115
511,nassjo,57.6531,14.6968,277.66,98,100,3.94,SE,1706673116
512,bar,49.0772,27.6826,269.04,87,35,2.73,UA,1706673116
513,quesnel,52.9999,-122.5029,272.43,93,0,0.0,CA,1706673116
514,guanica,17.9716,-66.908,298.18,69,9,1.73,PR,1706673116
515,palmer,42.1584,-72.3287,271.52,77,100,1.54,US,1706673117
516,along,28.1667,94.7667,289.05,68,99,0.37,IN,1706673118
517,uzgen,40.7699,73.3007,272.31,96,100,0.34,KG,1706673118
518,ghadamis,30.1337,9.5007,281.79,59,47,3.98,LY,1706673118
519,avila,40.5833,-5.0,277.4,58,75,0.88,ES,1706673118
520,angaur state,6.906,134.13,300.81,83,85,10.08,PW,1706673119
521,egersund,58.4513,5.9997,277.64,92,78,1.99,NO,1706673119
522,malesherbes,48.2957,2.4094,280.07,84,100,2.15,FR,1706673119
